Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error	file
Bitzenko	GPE	with frantic hullabaloo in the direction of Paris. Bitzenko, however, with great resourcefulness, easily outwitted them	1976															nothing found	ENG19180_Lewis_geo.tsv
buffonic	GPE	-like motion of sensible fastidious defence in front of buffonic violence. At the gate he exploded in harsh	2318															nothing found	ENG19180_Lewis_geo.tsv
sisters?—His	GPE	“A mother and sisters?—His father is dead?”	2604															nothing found	ENG19192_Woolf_geo.tsv
blear-eyed	GPE	against the protesting goat, a lump of bent, blear-eyed old age. Her companion in discomfort—possibly her	310															nothing found	ENG19191_Hamilton_geo.tsv
yestreen	GPE	you hadn't much liked the tinge of vermilion in yestreen's sunset, for he had touched in that vermilion	80															nothing found	ENG19201_Arlen_geo.tsv
Pymley	GPE	"were: ""Miss Hazeline Snow, The Bindles, Pymley, Gloucestershire."""	27															nothing found	ENG19190_Benson_geo.tsv
Pymley	GPE	"up. Don't you think 'The Bindles, Pymley,' is too darling?"""	31															nothing found	ENG19190_Benson_geo.tsv
paroxyism	GPE	unbroken wolf.” And then she experienced a keen paroxyism, a transport, as if she had made some	95															nothing found	ENG19200_Lawrence_geo.tsv
Kulturträger	GPE	world of culture and of intellect. She was a Kulturträger, a medium for the culture of ideas. With	99															nothing found	ENG19200_Lawrence_geo.tsv
horseboy	GPE	"them a silent blessing and a silent nod; the horseboy vociferated ""all right,"" and the richest young"	1950															nothing found	ENG18400_Trollope_geo.tsv
Neckerby	GPE	. But I cannot be at the suppertable at Neckerby, on next Saturday night, according to my promise	2651															nothing found	ENG18400_Trollope_geo.tsv
apoplexy	GPE	itself in defiance of such danger, a fit of apoplexy might have been expected.	2875															nothing found	ENG18400_Trollope_geo.tsv
